epoch,learning_rate,backbone_learning_rate,train_loss,train_macro_f1,val_loss,val_supported_macro_f1
1,0.0003,0.0,1.5472398583909444,0.5013970251945526,1.2198635511178362,0.265126405139334
2,0.0002967221401100708,0.0,1.2783354408571321,0.6501317937887823,1.1730139543814928,0.29428422993035647
3,0.0002870318186463901,0.0,1.22424400865631,0.6978632184531446,1.1709791247078167,0.299535123775678
4,0.0002713525491562421,0.0,1.1944145669438369,0.710591495630686,1.1415960887864098,0.2981691121350868
5,0.00025036959095382875,0.0,1.1762929002434057,0.7303129188344034,1.1411743178999185,0.29766896984512103
6,0.00022500000000000002,0.0,1.1577736878923355,0.7393285038689145,1.131506760514165,0.30218095314077376
7,0.00019635254915624213,0.0,1.1582011662273364,0.7477454590594078,1.134338467951366,0.29724939205325207
8,0.00016567926949014806,0.0,1.1512600588468669,0.7500655951821058,1.1370547872402057,0.30090447570962936
9,0.00013432073050985205,0.0,1.143958672341087,0.7564933638420195,1.1292245553061553,0.29924032047364657
10,0.00010364745084375793,0.0,1.1413452466919678,0.7536076119316475,1.139136985016218,0.29625777694575994
