filename,video_id,frame_number,finding_category,finding_class,x1,y1,x2,y2,x3,y3,x4,y4,label,path,target
0728084c8da942d9_22805.jpg,0728084c8da942d9,22805,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22805.jpg,9
0728084c8da942d9_22808.jpg,0728084c8da942d9,22808,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22808.jpg,9
0728084c8da942d9_22811.jpg,0728084c8da942d9,22811,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22811.jpg,9
0728084c8da942d9_22813.jpg,0728084c8da942d9,22813,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22813.jpg,9
0728084c8da942d9_22816.jpg,0728084c8da942d9,22816,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22816.jpg,9
0728084c8da942d9_22819.jpg,0728084c8da942d9,22819,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22819.jpg,9
0728084c8da942d9_22822.jpg,0728084c8da942d9,22822,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22822.jpg,9
0728084c8da942d9_22825.jpg,0728084c8da942d9,22825,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22825.jpg,9
0728084c8da942d9_22827.jpg,0728084c8da942d9,22827,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22827.jpg,9
0728084c8da942d9_22830.jpg,0728084c8da942d9,22830,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22830.jpg,9
0728084c8da942d9_22833.jpg,0728084c8da942d9,22833,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22833.jpg,9
0728084c8da942d9_22836.jpg,0728084c8da942d9,22836,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22836.jpg,9
0728084c8da942d9_22839.jpg,0728084c8da942d9,22839,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22839.jpg,9
0728084c8da942d9_22841.jpg,0728084c8da942d9,22841,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22841.jpg,9
0728084c8da942d9_22844.jpg,0728084c8da942d9,22844,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22844.jpg,9
0728084c8da942d9_22847.jpg,0728084c8da942d9,22847,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22847.jpg,9
0728084c8da942d9_22850.jpg,0728084c8da942d9,22850,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22850.jpg,9
0728084c8da942d9_22853.jpg,0728084c8da942d9,22853,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22853.jpg,9
0728084c8da942d9_22855.jpg,0728084c8da942d9,22855,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22855.jpg,9
0728084c8da942d9_22858.jpg,0728084c8da942d9,22858,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22858.jpg,9
0728084c8da942d9_22861.jpg,0728084c8da942d9,22861,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22861.jpg,9
0728084c8da942d9_22864.jpg,0728084c8da942d9,22864,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22864.jpg,9
0728084c8da942d9_22867.jpg,0728084c8da942d9,22867,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22867.jpg,9
0728084c8da942d9_22869.jpg,0728084c8da942d9,22869,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22869.jpg,9
0728084c8da942d9_22872.jpg,0728084c8da942d9,22872,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22872.jpg,9
0728084c8da942d9_22875.jpg,0728084c8da942d9,22875,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22875.jpg,9
0728084c8da942d9_22878.jpg,0728084c8da942d9,22878,Luminal,Normal clean mucosa,,,,,,,,,normal_clean_mucosa,D:\dataset_quazir\labelled_images\normal_clean_mucosa\0728084c8da942d9_22878.jpg,9
